,City,Year,Company,Model,Variant,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price,Ex_Showroom_Price
1935,Mumbai,2018,TOYOTA,COROLLA ALTIS,G,53788,1,Petrol,315000,1166899,111800,1055099,1035692
1936,Mumbai,2016,MARUTI,SWIFT,ZXI,81517,1,Petrol,102000,522699,18500,504199,490301
1937,Mumbai,2021,MARUTI,BALENO,SIGMA PETROL 1.2,12919,1,Petrol,507000,690199,0,690199,680511
1938,Mumbai,2020,MARUTI,SWIFT,ZXI + AMT,76183,1,Petrol,715000,764999,12100,752899,739001
1939,Mumbai,2017,MARUTI,SWIFT,VXI,48040,1,Petrol,169000,526299,36200,490099,480411
1940,Mumbai,2019,MG,HECTOR,SHARP 2.0 DIESEL,39475,1,Diesel,715000,1625299,82800,1542499,1523092
1941,Mumbai,2018,TATA,TIAGO,XE 1.2 REVOTRON,17837,1,Petrol,169000,459499,0,459499,445601
1942,Mumbai,2021,TATA,TIGOR,Revotron XE,1313,1,Petrol,474000,669199,17500,651699,642011
1943,Mumbai,2020,MARUTI,NEW  WAGON-R,ZXI 1.2,9219,1,Petrol,474000,657899,5000,652899,639001
1944,Mumbai,2013,MARUTI,SWIFT,VDI,45308,2,Diesel,181000,433099,15300,417799,403901
1945,Mumbai,2013,MARUTI,WAGON R 1.0,LXI,61841,1,Petrol,140000,320399,21500,298899,289211
1946,Mumbai,2017,FORD,ECOSPORT,1.5 TITANIUM TI VCT AT,34859,2,Petrol,169000,688099,72000,616099,602201
1947,Mumbai,2016,MARUTI,CELERIO,VXI CNG,19127,1,Petrol + CNG,181000,480099,7500,472599,462911
1948,Mumbai,2019,FORD,ECOSPORT,1.5 AMBIENTE TDCI,87301,1,Diesel,715000,734199,34000,700199,686301
1949,Mumbai,2019,HONDA,AMAZE,1.2 SMT I VTEC,14168,1,Petrol,474000,640399,32300,608099,594201
1950,Mumbai,2020,TOYOTA,URBAN CRUISER,Premium AT,10051,1,Petrol,474000,1224999,59300,1165699,1156011
1951,Mumbai,2018,HYUNDAI,GRAND I10,SPORTZ AT 1.2 KAPPA VTVT,17198,2,Petrol,169000,666499,66100,600399,590711
1952,Mumbai,2020,HYUNDAI,VERNA,S PETROL MT,14162,1,Petrol,474000,940399,44000,896399,884211
1953,Mumbai,2019,VOLKSWAGEN,POLO,COMFORTLINE  CUP EDITION,11718,1,Petrol,367000,760399,66900,693499,683811
1954,Mumbai,2019,RENAULT,KWID,1.0 RXT Opt,20884,1,Petrol,367000,403599,0,403599,393911
1955,Mumbai,2020,KIA,SELTOS,HTK PLUS 1.5 DIESEL,26188,1,Diesel,715000,1460799,0,1460799,1446901
1956,Mumbai,2016,HYUNDAI,ELITE I20,MAGNA 1.2,22356,1,Petrol,520000,531099,5000,526099,516411
1957,Mumbai,2014,MARUTI,SWIFT DZIRE,VXI,78487,1,Petrol,181000,430499,9600,420899,407001
1958,Mumbai,2017,MARUTI,SWIFT,VXI OPT,37414,1,Petrol,169000,581499,19800,561699,552011
1959,Mumbai,2017,MARUTI,SWIFT,ZXI,53005,1,Petrol,507000,560299,10500,549799,540111
1960,Mumbai,2019,HYUNDAI,ELITE I20,1.2 MAGNA PLUS VTVT,36248,1,Petrol,507000,643399,0,643399,629501
1961,Mumbai,2020,MARUTI,S PRESSO,VXI CNG,18982,1,Petrol + CNG,367000,605599,0,605599,595911
